Greek mythology;Roman mythology;The New Testament;The Old Testament;Saints;Historical figures;Occupation;Occupation + Nationality;Nationality;Women of different countries;Personification;Animals;Other
Herse;;;Rebecca;;Gabriel Roelants;glue maker;;;;;;
Hesperia;;;Rebekah;;Gabriele Ciabrera;goldsmiths;;;;;;
Hesperides;;;Reuben;;Galba;grain hoarder;;;;;;
Hippodamia;;;Ruben, Patriarch of Israel;;Geminiano Caldarostaro;gravedigger;;;;;;
Hippolytus;;;Ruth;;Gemma Frisius;guard;;;;;;
Hippomenes;;;Sailor;;Georg Ettenhard;harlots;;;;;;
Hyacinth;;;Salmon;;Georg Friedrich, Margrave of Baden-Durlach;harp-player;;;;;;
Hydra;;;Samson;;Georg Pflug von Peterstein;harvesters;;;;;;
Hydra of Lerna;;;Samuel;;Georg Reichbrodt;hatter;;;;;;
Hygieia;;;Sara;;George Edwards;herdsman;;;;;;
Hymen;;;Sarah;;George Holmes;high priest;;;;;;
Icarus;;;Sarai;;George Manners;horn-blower;;;;;;
Ino;;;Saul;;George Villiers, 2nd Duke of Buckingham;hostess;;;;;;
Io;;;Saul (St Paul);;Gerrit Jansz. van Schooten;huntsman;;;;;;
Iole;;;Seth;;Gerrit de Jong;infantry;;;;;;
Iphigeneia;;;Shamgar;;Gian Giacomo Bartolotti;ink seller;;;;;;
Iphigenia;;;Shechem;;Gillis van Breen;innkeeper;;;;;;
Iphis;;;Shechemites;;Giovanni Baglione, as a Knight of Malta;jester;;;;;;
Iphsis;;;Shem;;Giovanni Battista Marino;judge;;;;;;
Ira;;;Shimei;;Giovanni Boccaccio;knife and scissor sharpener;;;;;;
Iris;;;Shunammite woman;;Giovanni Lorenzo Bernini;knight;;;;;;
Ithaca;;;Simeon;;Giovanni de' Medici;labourers;;;;;;
Itys;;;Siserra;;Godfrey of Bouillon;lancemen;;;;;;
Ixion;;;Solomon;;Gonzales de Córdoba;landsknechte;;;;;;
Jason;;;Susanna;;Gottfried-Heinrich;lawyer;;;;;;
King Coroneus of Phocis;;;Tabitha;;Gregorio XIV;leader of the Swiss;;;;;;
King Lyncus;;;Tamar;;Griedt Scuiers;locksmiths;;;;;;
King Midas;;;Tobias;;Griet Ians;lute player;;;;;;
Laertes;;;Tobit;;Griet Luiten;mackerel seller;;;;;;
Laestrygones;;;Tubalcain;;Guercino;magistrate;;;;;;
Lampetia;;;Uriah;;Guillaume Ancel, French ambassador in Prague;maiden;;;;;;
Laokoon;;;Uriel;;Hannibal;manager;;;;;;
Lapiths;;;Zadok the priest;;Hans (John) Wormbergh;marquess;;;;;;
Leander;;;Zebulun;;Hans Bol;master;;;;;;
Leucothoe;;;Zecharaiah;;Hans De Ries;match seller;;;;;;
Lycaon;;;Zillah;;Hans Holbein;mathematicians;;;;;;
Lycomedes;;;Zophar;;Hans Holbein the Younger;messenger;;;;;;
Marsyas;;;archangel;;Hans Sloane;metalworkers;;;;;;
Medea;;;cherub;;Hans von Aachen;midwife;;;;;;
Medusa;;;four horsemen of the Apocalypse;;Hans von Zürich;military door guard;;;;;;
Meleager;;;general Holophernes;;Harboldius van Tombergen;military leader;;;;;;
Melpomene;;;prophet Daniel;;Harlequin;milkmaid;;;;;;
Menelaus;;;prophet Elias (Elijah);;Heinrich Aldegrever;miller;;;;;;
Merchant;;;prophet Joel;;Helena Fourment;miner;;;;;;
