link;named_entity1;named_entity2;named_entity3;named_entity4;named_entity5;named_entity6;named_entity7;named_entity8;named_entity9;named_entity10;named_entity11;named_entity12;named_entity13;named_entity14;named_entity15;named_entity16;named_entity17;named_entity18;named_entity19;named_entity20;named_entity21
https://www.britishmuseum.org/collection/object/P_O-8-163;James I;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1948-0410-4-215;woman;woman;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-2-10;man;woman;child;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-41;farmer;zodiac sign of Leo;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-161;Vanitas;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-61;man;boy;Death;owl;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-258;Christ;apostle;lepers;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-1-125;angel;Christ;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1952-0705-1-4;horse;triton;seahorse;ichthyocentaurs;man;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1972-U-5-2;couple;Ovid;Cupid;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-1-221;Virgin;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1983-U-2381-24;James I;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_O-6-129;Damião de Goes;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-361;St Peter;figure;Ananias;Sapphira;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_H-7-22;Roman warrior;;;;;;;;;;;;;;;;;;;;
